iter	Logloss
171	0.4983350636
172	0.4979965686
173	0.4977337899
174	0.4974265185
175	0.4970915009
176	0.4968297344
177	0.4964848806
178	0.4963944872
179	0.4959522669
180	0.4956574232
181	0.4954195176
182	0.494951355
183	0.4943908431
184	0.4942103778
185	0.4939642578
186	0.4937521782
187	0.4935266382
188	0.4933680534
189	0.4929445019
190	0.4927147517
191	0.4923932242
192	0.4920145885
193	0.4917528687
194	0.4913005589
195	0.4911547505
196	0.4909992908
197	0.4907559452
198	0.4904546396
199	0.4893015125
200	0.4888819293
201	0.4885077398
202	0.4882995271
203	0.4876780888
204	0.4874199414
205	0.4871217149
206	0.486474091
207	0.4863821137
208	0.4860504652
209	0.4858425707
210	0.4856401447
211	0.48534267
212	0.4851436312
213	0.4848680937
214	0.4843738167
215	0.4841037614
216	0.4837481188
217	0.4835429676
218	0.483156605
219	0.4828495684
220	0.4823582893
221	0.4820575268
222	0.4818322281
223	0.4816335244
224	0.4813197016
225	0.4812217545
226	0.4809505574
227	0.4807494157
228	0.4804982834
229	0.4801077992
230	0.4799414288
231	0.4798565928
232	0.479694785
233	0.4794179946
234	0.4792897739
235	0.4790708851
236	0.4788547213
237	0.4786487742
238	0.4783712291
239	0.4782239082
240	0.4780329657
241	0.4777465301
242	0.4774605456
243	0.477239318
244	0.4770494699
245	0.4768588128
246	0.4766408531
247	0.4764542606
248	0.4761603743
249	0.4760485981
250	0.4758067987
251	0.4753180221
252	0.4749678918
253	0.4747221715
254	0.4744649567
255	0.474199812
256	0.4739718178
257	0.4736840097
258	0.4734798786
259	0.4732640586
260	0.4730796792
261	0.4728857907
262	0.4725317947
263	0.4724347966
264	0.4720730515
265	0.4715980593
266	0.4713510975
267	0.4708394903
268	0.4703775817
269	0.4701006192
270	0.4698606872
271	0.4697152448
272	0.4694132296
273	0.4692605265
274	0.4689250347
275	0.4686405079
276	0.468110381
277	0.4678677722
278	0.4675628707
279	0.4673005946
280	0.4671587578
281	0.4669513331
282	0.4666855503
283	0.4664071886
284	0.4662409344
285	0.4661002566
286	0.4659711939
287	0.4657638729
288	0.4655219202
289	0.4653102408
290	0.4649398717
291	0.4648308492
292	0.4644111088
293	0.4641476894
294	0.4637818944
295	0.4634911667
296	0.4630861773
297	0.4628192571
298	0.4622861007
299	0.462090088
300	0.4618813546
301	0.4617480276
302	0.4614763103
303	0.4612883145
304	0.4609992196
305	0.4602166249
306	0.4600244995
307	0.4596510961
308	0.4593971618
309	0.4589447008
310	0.4585804915
311	0.4583215763
312	0.4580620861
313	0.4578072616
314	0.4576184818
315	0.4573459515
316	0.4568676331
317	0.4564050825
318	0.4561479816
319	0.4556034823
320	0.4551870005
321	0.4543614617
322	0.4541284702
323	0.4539252009
324	0.4536334692
325	0.4533399539
326	0.4531685905
327	0.4528991985
328	0.4526588216
329	0.4524236959
330	0.4521440854
331	0.4518617746
332	0.4515658833
333	0.4513405092
334	0.4511284922
335	0.4507333336
336	0.4505069824
337	0.4501440546
338	0.4498618663
339	0.4494347956
340	0.44916338
341	0.4488388247
342	0.4486838907
343	0.4484549502
344	0.4482565423
345	0.4481150549
346	0.4478546553
347	0.4476590588
348	0.4473067222
349	0.4470537832
350	0.4467899832
351	0.4466042267
352	0.4462508987
353	0.4459458224
354	0.4456524713
355	0.4451257832
356	0.444853833
357	0.4446221986
358	0.4444843622
359	0.4441335576
360	0.443913185
361	0.4436184165
362	0.4433643529
363	0.4430856662
364	0.4428746401
365	0.4426394392
366	0.4424137644
367	0.4419075382
368	0.4416631786
369	0.4412554921
370	0.4410710768
371	0.4408345573
372	0.440602835
373	0.4404043598
374	0.4401486578
375	0.4399144373
376	0.4396315273
377	0.4394678517
378	0.4392405488
379	0.4390568297
380	0.4385791316
381	0.4382552789
382	0.4379526413
383	0.4377328766
384	0.4374388606
385	0.4372083376
386	0.4370167209
387	0.4367894004
388	0.4362977999
389	0.4361020609
390	0.435908465
391	0.4355198173
392	0.4353032573
393	0.4350804028
394	0.4348891578
395	0.4346128957
396	0.4343440098
397	0.4340795813
398	0.4338373944
399	0.4335897239
400	0.4332772192
401	0.4328084119
402	0.4326789101
403	0.4323271332
404	0.4320586717
405	0.4319060845
406	0.4316236906
407	0.4313822873
408	0.4312243594
409	0.4309932931
410	0.4307527729
411	0.4305801004
412	0.4303718229
413	0.4301219819
414	0.4299803399
415	0.4295986467
416	0.4293433737
417	0.4290878584
418	0.4287950506
419	0.4285942721
420	0.428385811
421	0.4281051735
422	0.4279680078
423	0.4278155815
424	0.4275417884
425	0.4273735193
426	0.4271393621
427	0.4267255428
428	0.4265133907
429	0.4262951589
430	0.4260211742
431	0.4256600371
432	0.4252634674
433	0.4249302905
434	0.4247640644
435	0.4245318466
436	0.424286689
437	0.424046503
438	0.423673698
439	0.4234420212
440	0.4232188567
441	0.4229933796
442	0.4227160917
443	0.4224329401
444	0.4221736018
445	0.4220199135
446	0.421625293
447	0.4213723824
448	0.4209803325
449	0.4207512914
450	0.4205856198
451	0.4204298264
452	0.4201354117
453	0.4199711303
454	0.4196197531
455	0.4194648999
456	0.4192762921
457	0.4190438535
458	0.4188588554
459	0.4186772521
460	0.4184844003
461	0.4183416627
462	0.4181992569
463	0.4180531624
464	0.4178626197
465	0.4176105287
466	0.4172287476
467	0.4170249223
468	0.4167765956
469	0.416638408
470	0.4162588032
471	0.4160489162
472	0.415843416
473	0.4156727194
474	0.4155433663
475	0.4153253382
476	0.4150758048
477	0.4145856534
478	0.4143713938
479	0.4141643092
480	0.4140117182
481	0.4137609837
482	0.4135727391
483	0.4133389209
484	0.4131631749
485	0.4128801948
486	0.4126668564
487	0.412515356
488	0.4122550373
489	0.4120132608
490	0.4117040899
491	0.4113872122
492	0.4110178206
493	0.4107230458
494	0.4105183553
495	0.4103196662
496	0.4100425016
497	0.40994239
498	0.4095821768
499	0.4093068861
